date,n,weekday,temperature,sunshinetime,precipitation,rainy_day,Feiertage,holiday,businessday
2013-03-15,757,Fri,-1.6,8.8,0.0,FALSE,NA,FALSE,FALSE
2013-03-16,529,Sat,-0.7,8.0,0.0,FALSE,NA,FALSE,FALSE
2013-03-17,348,Sun,0.1,4.7,0.0,FALSE,NA,FALSE,TRUE
2013-03-18,536,Mon,-1.0,0.0,3.5,TRUE,NA,FALSE,TRUE
2013-03-19,387,Tues,-1.2,0.0,9.6,TRUE,NA,FALSE,TRUE
2013-03-20,290,Wed,-0.7,0.0,0.8,TRUE,NA,FALSE,TRUE
2013-03-21,459,Thurs,-0.8,3.1,0.8,TRUE,NA,FALSE,TRUE
2013-03-22,506,Fri,-2.3,5.8,0.2,TRUE,NA,FALSE,FALSE
2013-03-23,280,Sat,-3.6,10.9,0.1,TRUE,NA,FALSE,FALSE
2013-03-24,294,Sun,-2.0,4.6,0.0,FALSE,NA,FALSE,TRUE
2013-03-25,823,Mon,-1.2,5.5,0.0,FALSE,NA,FALSE,TRUE
2013-03-26,846,Tues,-0.4,4.3,0.0,FALSE,NA,FALSE,TRUE
2013-03-27,930,Wed,-0.1,9.6,0.0,FALSE,NA,FALSE,TRUE
2013-03-28,898,Thurs,0.5,5.6,0.5,TRUE,NA,FALSE,TRUE
2013-03-29,235,Fri,-0.1,0.0,1.0,TRUE,Karfreitag,TRUE,FALSE
2013-03-30,430,Sat,0.0,0.0,0.5,TRUE,NA,FALSE,FALSE
2013-04-01,637,Mon,0.8,12.2,0.0,FALSE,Ostermontag,TRUE,FALSE
2013-04-02,1396,Tues,0.8,12.7,0.0,FALSE,NA,FALSE,TRUE
2013-04-03,1310,Wed,1.3,11.0,0.0,FALSE,NA,FALSE,TRUE
2013-04-04,1235,Thurs,1.7,10.6,0.0,FALSE,NA,FALSE,TRUE
2013-04-05,880,Fri,1.4,0.0,1.1,TRUE,NA,FALSE,FALSE
2013-04-06,1057,Sat,2.4,12.1,0.0,FALSE,NA,FALSE,FALSE
